parent_hashtag;Instagram_auto_desc;post_date
climateaction;text that says 'The Frontline SaturdaySphere An intro to intersectionality Atmos Racial Identity Nationality Gender Physical Ability Sexual Orientation Civil rights advocate and law professor Kimberlé Crenshaw coined the term in 1989 to highlight the areas where systems of oppression overlap and combine to create unique social issues that are often overlooked. These include gender, race, physical ability, nationality, and sexual orientation. Sources: Womankind Worldwide, YW Boston'.;2022-03-05
climateaction;text that says 'The Frontline SaturdaySphere Atmos Gender and climate are connected. Gender Climate Justice Women are disproportionately impacted- of people climate change displaces are women. In many communities, women are responsible for gathering food and water, but global temperature rise is making this more difficult. It's also harming their mental health and safety. Reports of domestic violence often increase following extreme weather. Sources: BBC, Project Drawdown, IUCN, Gizmodo'.;2022-03-05
climateaction;"text that says 'The Frontline SaturdaySphere Atmos ""Women"" means all women. Transgender women are women. They not only face some of the same obstacles as cis women, they are also oppressed and excluded by discrimination and social stigma toward the trans community. For example, the unemployment ment rate for transgender individuals in the U.S. is twice that of the population as a whole, leaving them more vulnerable to houselessness and poverty. Sources: Down To Earth, National GBTQ Û Task Force'.";2022-03-05
climateaction;text that says 'Frontline SaturdaySphere Atmos Trans women deserve recognition. Emergency response and disaster relief services don't always include trans women, making them especially vulnerable when disasters hit They may face discrimination when accessing shelters or filling out applications for government aid, especially if they have to disclose the names they were given at birth. Ûource: Policy Briet from Û UC rvine and University of Georgia'.;2022-03-05
climateaction;text that says 'The Frontline SaturdaySphere Atmos Women's voices are vital for climate justice. When education levels for women and girls rise, their political, social, and economic standings improve. So does their reproductive healthcare. Women often hold community knowledge and understand how to adapt to the changing climate and how to devise practical solutions. The latest IPCC report released last month contained more women authors than previous reports, a marker that things are slowly changing. Sources: Project Drawdown, IUCN The 9th'.;2022-03-05
climateaction;text that says 'The Frontline SaturdaySphere Atmos Viewing environmentalism through an intersectional lens allows us to see how existing social issues exacerbate environmental issues. It's only with this outlook that climate solutions can be effective and beneficial for everyone.'.;2022-03-05
climateaction;text that says 'i FORBES Paint is the largest source of microplastics in the ocean WASTE ED'.;2022-03-10
climateaction;food and text that says 'Reduce your foodprint. Each time you choose to eat plant foods instead of animals, you save water, soil and animal habitat, you protect the world from climate change, and you save an animal's life. What is your food's footprint? VeganStreet.com com veganstreet patreon.'.;2022-03-11
climateaction;text that says 'This Designer Turns Citrus Fruit Waste Into Silk-like Fabric, Diverts 700,000 Tons of Citrus Waste'.;2022-03-10
climateaction;ocean and nature.;2022-03-11
climateaction;text that says 'Reasons to hope Sydney is the first city in the world to filter and monitor microplastics in the water 24/7'.;2022-03-09
climateaction;one or more people, people standing, outdoors and text that says 'These Sisters Turn Discarded Plastic Into Bricks That Are Fire Retardant And Stronger Than Ordinary Bricks CEET'.;2022-03-04
climateaction;map and text that says 'TAP ONCE FOR CLIMATE HOPE'.;2022-03-11
climateaction;"one or more people, braids and text that says '""Women are not just victims, vulnerable to the_worst the worst effects of climate breakdown. Overwhelmingly, they are also the key to solving and leading positive climate futures."" Joycelyn Longdon, Climate in Colour'.";2022-03-08
climateaction;"one or more people, jewelry, outdoors and text that says '""Women play a critical role in food production. Direct impacts of climate change affecting food production affect women. While we have that, we also have lot of women championing for a better environment and are playing a big role in climate action."" Anita Soina, Spice Warriors Kenya'.";2022-03-08
climateaction;"one or more people and text that says '""We have to talk about the unique struggles of BIPOC women in the climate space. As an Asian American woman myself, my personal struggle has been around being very underestimated and undermined in this work."" ""It is due to other BIPOC women's support, collective wisdom, and nurturing energy that I've been able to keep going and create avenues for others to do this work as well."" Kristy Drutman, @browngirl_green'.";2022-03-08
climateaction;"one or more people, flower and text that says '""Our planet is being treated the way women have been treated all throughout history exploited, extracted from, and disrespected in so many ways. You cannot separate the fight for equality for women and the fight to save our planet, they are the same fight."" Jamie Margolin, Zero Hour'.";2022-03-08
climateaction;"‎one or more people, braids, eyeglasses, outdoors and ‎text that says '‎ןI۱ ""Women are leading the way in developing equitable climate solutions. As a result, women's empowerment is deeply connected the protection of our planet and one cannot be achieved without the other."" Arielle King, Intersectional Environmentalist‎'‎‎.";2022-03-08
climateaction;"one or more people and text that says '""Equality won't be handed down to us. It won't just appear. If we want it, we need to fight for it"" Luisa Neubauer, Fridays for Future'.";2022-03-08
climateaction;"one or more people, people standing, outdoors and text that says '""이이스스 4٠0/0١4 시시시 시시시스스스! ""In addition to their gendered burdens, women of the Global South have been forced to carry the additional burden and effort of saving humanity's future, when it should be shared by us all. It's high time the rest of us step up.' Padmini Gopal, @climatekarma'.";2022-03-08
climateaction;"one or more people, braids, outdoors and text that says '""We are drowning in promises. Commitments will not reduce CO2. Promises will not stop the suffering of people. Pledges will not stop the planet from warming. Only immediate and drastic action will pull us back from the abyss."" Vanessa Nakate, Rise Up Africa'.";2022-03-08
climateaction;"one or more people, people standing and text that says 'and to be ""Women and girls are, continue disproportionately affected by the impacts of climate change. Women, especially women of colour are more vulnerable to the consequences of climate change but are so often excluded from the decision-making process; gender justice is not possible without women' meaningful participation, decision-making power and involvement."" Veronica Mulenga, VroaM,Yo Youth Climate Save Zambia'.";2022-03-08
climateaction;"one or more people, headscarf and text that says '""The or be road to climate justice can not be concurring, or control, fighting, it must harmony, love, and gentleness. We must learn from the people who are still alive after power and greed tried to kill them over and over again. We must learn that harmony, and gentleness is not weakness or nomadic simplicity, these are the traits of our mother. These are the things that have kept us alive. Ayisha Siddiqa, Polluters Out'.";2022-03-08
climatecrisis;text that says 'We spend billions of dollars to find life on other planets ...and trillions of dollars killing the life n this one'.;2022-03-06
climatecrisis;"text that says 'math prof @mathematicsprof Quote by a forest ranger at Yosemite National Park on why it is hard to design the perfect garbage bin to keep bears from breaking into it: ""There is considerable overlap between the intelligence of the smartest bears and the dumbest tourists.""'.";2022-03-12
climatecrisis;"one or more people, braids and text that says '""Women are not just victims, vulnerable to the_worst the worst effects of climate breakdown. Overwhelmingly, they are also the key to solving and leading positive climate futures."" Joycelyn Longdon, Climate in Colour'.";2022-03-08
climatecrisis;"one or more people, jewelry, outdoors and text that says '""Women play a critical role in food production. Direct impacts of climate change affecting food production affect women. While we have that, we also have lot of women championing for a better environment and are playing a big role in climate action."" Anita Soina, Spice Warriors Kenya'.";2022-03-08
climatecrisis;"one or more people and text that says '""We have to talk about the unique struggles of BIPOC women in the climate space. As an Asian American woman myself, my personal struggle has been around being very underestimated and undermined in this work."" ""It is due to other BIPOC women's support, collective wisdom, and nurturing energy that I've been able to keep going and create avenues for others to do this work as well."" Kristy Drutman, @browngirl_green'.";2022-03-08
climatecrisis;"one or more people, flower and text that says '""Our planet is being treated the way women have been treated all throughout history exploited, extracted from, and disrespected in so many ways. You cannot separate the fight for equality for women and the fight to save our planet, they are the same fight."" Jamie Margolin, Zero Hour'.";2022-03-08
climatecrisis;"‎one or more people, braids, eyeglasses, outdoors and ‎text that says '‎ןI۱ ""Women are leading the way in developing equitable climate solutions. As a result, women's empowerment is deeply connected the protection of our planet and one cannot be achieved without the other."" Arielle King, Intersectional Environmentalist‎'‎‎.";2022-03-08
climatecrisis;"one or more people and text that says '""Equality won't be handed down to us. It won't just appear. If we want it, we need to fight for it"" Luisa Neubauer, Fridays for Future'.";2022-03-08
climatecrisis;"one or more people, people standing, outdoors and text that says '""이이스스 4٠0/0١4 시시시 시시시스스스! ""In addition to their gendered burdens, women of the Global South have been forced to carry the additional burden and effort of saving humanity's future, when it should be shared by us all. It's high time the rest of us step up.' Padmini Gopal, @climatekarma'.";2022-03-08
climatecrisis;"one or more people, braids, outdoors and text that says '""We are drowning in promises. Commitments will not reduce CO2. Promises will not stop the suffering of people. Pledges will not stop the planet from warming. Only immediate and drastic action will pull us back from the abyss."" Vanessa Nakate, Rise Up Africa'.";2022-03-08
climatecrisis;"one or more people, people standing and text that says 'and to be ""Women and girls are, continue disproportionately affected by the impacts of climate change. Women, especially women of colour are more vulnerable to the consequences of climate change but are so often excluded from the decision-making process; gender justice is not possible without women' meaningful participation, decision-making power and involvement."" Veronica Mulenga, VroaM,Yo Youth Climate Save Zambia'.";2022-03-08
climatecrisis;"one or more people, headscarf and text that says '""The or be road to climate justice can not be concurring, or control, fighting, it must harmony, love, and gentleness. We must learn from the people who are still alive after power and greed tried to kill them over and over again. We must learn that harmony, and gentleness is not weakness or nomadic simplicity, these are the traits of our mother. These are the things that have kept us alive. Ayisha Siddiqa, Polluters Out'.";2022-03-08
climatecrisis;text that says 'In case you missed it: We're going to Court'.;2022-03-12
climatecrisis;tree and text that says 'We've been given permission to bring judicial review proceedings in our legal challenge against Government's dangerously threadbare Net Zero strategy, alongside our friends at Client Earth and Friends of the Earth.'.;2022-03-12
climatecrisis;text that says 'The current strategy lacks a real pathway to ensure we reduce greenhouse gases to Net Zero by 2050, and we know the time to act on the climate emergency is now. Follow for updates on this case.'.;2022-03-12
climatecrisis;animal, grass and text that says 'ROWDY GIRL Sanctuary NOTHING IS WORSE THAN DAIRY'.;2022-03-13
climatecrisis;outdoors and text that says 'Polar Bears Are Starving.'.;2022-03-13
climatecrisis;Photo by Dan Rather Tweets on March 08, 2022. May be a Twitter screenshot of one or more people and text that says 'Dan Rather @DanRather Leading the world away from a dependence on fossil fuels is a matter of national and global security.'.;Unknown
climatecrisis;text that says 'EARTHLY EDUCATION HOW MUC ARE WE GOING TO WAIT? RICH PEOPLE POOR PEOPLE ANIMALS CLIMATE CHANGE'.;2022-03-09
climatecrisis;one or more people, people standing and text that says 'Michaela Capone @livingcapo.... 1d the irony is real Drilling oil in the United States Drilling oil in Russia, Venezuela, and Iran'.;2022-03-10
climatechangeisreal;emperor penguin, nature;2022-03-07
climatechangeisreal;nature, mountain and lake.;2022-03-03
climatechangeisreal;sky, mountain and nature.;2022-02-27
climatechangeisreal;nature and tree.;2022-02-27
climatechangeisreal;tree, mountain and nature.;2022-02-27
climatechangeisreal;body of water and nature.;2022-02-27
climatechangeisreal;lake, nature and tree.;2022-02-27
climatechangeisreal;nature.;2022-02-27
climatechangeisreal;lake, nature, sky, mountain and tree.;2022-02-27
climatechangeisreal;mountain and nature.;2022-02-27
climatechangeisreal;tree, nature and body of water.;2022-02-27
climatechangeisreal;lake, tree and nature.;2022-02-27
climatechangeisreal;text that says 'CLIMATE CHANGE 'We are all visitors to this time, this place. We are just passing through. Our purpose here is to observe, to learn, to grow, to love...and then we return home.' ABORIGINAL PROVERB CLIMATE CHANGE IS REAL'.;2022-02-24
climatechangeisreal;Photo by Fabio Forcinelli on February 16, 2022. May be a cartoon of text.;2022-02-16
climatechangeisreal;tree, sky, nature and twilight.;2022-02-18
climatechangeisreal;sky, nature and twilight.;2022-02-18
climatechangeisreal;one or more people, monument and text that says 'Climate Change Is Real. ....... Washington D.C. Forecast: 74F (23.3C) Today 36F (2.2C) Tomorrow'.;2022-02-25
climatechangeisreal;tree and nature.;2022-03-09
climatechangeisreal;nature and mountain.;2022-03-09
climatechangeisreal;nature.;2022-03-09
climatechangeisreal;sky and nature.;2022-03-09
climatechangeisreal;tree, mountain and nature.;2022-03-09
climatechangeisreal;nature.;2022-03-09
climatechangeisreal;mountain and nature.;2022-03-09
climatechangeisreal;road and nature.;2022-03-09
climatechangeisreal;road and nature.;2022-03-09
climatechangeisreal;sky, mountain and nature.;2022-03-09
climatestrike;Photo by AfenyiAfenyi on February 07, 2022. May be an illustration.;2022-02-07
climatestrike;Photo shared by AfenyiAfenyi on February 07, 2022 tagging @wacom, @illustration_daily, @wacomdepotgh, @orobeforobef, and @wacom_mea. May be a cartoon.;2022-02-07
climatestrike;Photo by AfenyiAfenyi on February 07, 2022. May be a cartoon.;2022-02-07
climatestrike;one or more people, people standing and outdoors.;2022-03-13
climatestrike;Photo by Irenka Pareto on February 28, 2022.;2022-03-02
climatestrike;text that says 'A Socialism 101 event Anti-capitalist Environmentalism Sunday People's Republic Anvnf 13Febuary, studentsand of Stokes Croft young young 1-5pm 14 Hillgrove St, .stdby the Socialist Bristol BS2 8JT Workers Party'.;2022-02-06
climatestrike;text that says 'SIGN PETITION! Demand Fossil Fuel Company OCP Ecuador Clean Up Their Oil Spill in the Amazon LINK IN BIO! onegreenplanet.org'.;2022-02-23
climatestrike;one or more people, people standing, outdoors and text that says 'CLIMATE DELAY MEANS DEATH'.;2022-03-06
climatestrike;text.;2022-02-14
climatestrike;map and text that says 'WE ALL SHARE THE SAME HOME @vegan.frank'.;2022-02-24
climatestrike;one or more people and people standing.;2022-03-03
climatestrike;one or more people, people standing and outdoors.;2022-03-03
climatestrike;child, standing and outdoors.;2022-03-03
climatestrike;one or more people, people standing and outdoors.;2022-03-03
climatestrike;Photo shared by Daniel | fotograf aktywista on March 03, 2022 tagging @daniel_petryczkiewicz. May be a closeup of one or more people.;2022-03-03
climatestrike;one or more people and people standing.;2022-03-03
climatestrike;one or more people, people standing and outdoors.;2022-03-03
climatestrike;one or more people, people standing and text that says 'STOP THE WAR THERE IS NO TIME TO WAIT'.;2022-03-03
climateemergency;text that says 'In case you missed it: We're going to Court'.;2022-03-12
climateemergency;tree and text that says 'We've been given permission to bring judicial review proceedings in our legal challenge against Government's dangerously threadbare Net Zero strategy, alongside our friends at Client Earth and Friends of the Earth.'.;2022-03-12
climateemergency;text that says 'The current strategy lacks a real pathway to ensure we reduce greenhouse gases to Net Zero by 2050, and we know the time to act on the climate emergency is now. Follow for updates on this case.'.;2022-03-12
climateemergency;3 people, people standing and outdoors.;2022-03-10
climateemergency;sky and text that says '¿Por qué son importantes? Los procesos únicos que tienen lugar en estos ecosistemas aportan una gran cantidad de beneficios a la sociedad y a la biodiversidad que se desarrolla en ellos. ABASTECIMIENTO DE AGUA LIMPIA REGULACIÓN DEL CLIMA PROVISIÓN DE ALIMENTOS REE AMORTIGUACIÓN DE INUNDACIONES @defensoresdelpastizal'.;2022-03-10
climateemergency;deer and text that says 'TRES TRES COSAS qUE PODÉS HACER POR PAULA PPELLT LOS ANIMALES DE CORRIENTES'.;2022-03-10
climateemergency;fire, outdoors and text that says 'MEDIO MILLÓN DIE HECTÁREAS YA ARDIERON EN CORRIENTES #BastaDeQuemas #CorrientesArde'.;2022-03-10
climateemergency;animal and text that says 'escapan del fuego pumas y yacarés atrapados entre los incendios de Corrientes February 21, 2022'.;2022-03-10
climateemergency;"sky and text that says 'El impacto de las quemas, que se realizan para ""limpiar"" terrenos para cultivos y para ""renovar"" pasturas para el ganado, se agrava con la baja extraordinaria del Río Paraná y la presencia de múltiples focos simultáneos sin planificación ni control. RiOGRAND Uruguay @defensoresdelpastizal'.";2022-03-10
climateemergency;text that says 'EXIGIMOS el cumplimiento efectivo de esta ley que ya lleva en vigencia 14 AÑOS ¡NO TENEMOS MÁS TIEMPO! EL ESTADO ES RESPONSABLE @defensoresdelpastizal pastizal'.;2022-03-10
climateemergency;sky and text that says 'House House collapses into ocean and scatters debris for miles U.S.NEWS U.S. NEWS NEWS'.;2022-02-13
climateemergency;one or more people and text that says 'WE DON'T NEED RUSSIA'S OIL AND GAS. WHAT WE NEED IS AMERICAN-MADE MADE CLEAN ENERGY. THAT IS WHY I HAVE INTRODUCED A BILL TO END RUSSIAN OIL IMPORTS, CONFRONT THE CLIMATE CRISIS, AND CUT OFF PUTIN FROM BILLIONS OF AMERICAN DOLLARS. SEN.ED MARKEY act.tv'.;2022-03-04
climateemergency;Photo by James Hillier on March 08, 2022. May be a cartoon of one or more people and text.;2022-03-08
climateemergency;"text that says '""Never Again"" Is Happening Now.'.";2022-03-13
climateemergency;outdoors and text that says 'We Need Price Controls For Gas Prices Because Capitalism Is Failing The World With Respect To Fossil Fuels.'.;2022-03-12
climateemergency;text that says 'EARTHLY EDUCATION HOW MUC ARE WE GOING TO WAIT? RICH PEOPLE POOR PEOPLE ANIMALS CLIMATE CHANGE'.;2022-03-09
climateemergency;outdoors and text that says 'Polar Bears Are Starving.'.;2022-03-13
climatejustice;one or more people, people standing and text that says 'A growing force in the climate movement: Moms Activists are deploying the moral authority of mothers to push for climate action. Their protests must steer clear of nap time.'.;2022-03-12
climatejustice;text.;2022-03-12
climatejustice;"child, standing, outdoors and text that says 'Chandra Bocci, mother of a 4-year-old in Brooklyn, summed up her motivation this way: ""I want to be able to say to my kid, 'We're trying to do something.""""'.";2022-03-12
climatejustice;text that says 'New York City. Others, like Bocci's group, Sunrise Kids NYC, have singled out fossil fuel financiers, once staging what they called a protest play date at the Westchester County farmhouse of Larry Fink, the BlackRock chairman. Climate Forward There's an ongoing crisis- and tons of news. Our newsletter keeps you up to date. Get it sent to your inbox. As Bocci and I spoke on a video call, her son Vesper climbed onto her lap to complain that he didn't get a chance to press Fink's doorbell repeatedly, as the other kids had. (More on'.;2022-03-12
climatejustice;text.;2022-03-12
climatejustice;"text that says 'Sunrise Kids, part of a network called NYC Climate Families Coalition, are mostly moms of toddlers. They work the playgrounds and armers markets. They meet online in the evening after their kids are in bed. They plan protests on weekends, steering clear of nap times. Several of the members of Sunrise Kids said they felt consumed by the climate crisis once they became parents. They found individual action, like composting, to be inadequate. They turned to each other to take on what Fontes, mother of a 2-year-old and another due soon, called ""the levers of power.""'.";2022-03-12
climatejustice;text that says 'EARTHLY EDUCATION HOW MUC ARE WE GOING TO WAIT? RICH PEOPLE POOR PEOPLE ANIMALS CLIMATE CHANGE'.;2022-03-09
climatejustice;text that says 'The Frontline SaturdaySphere Atmos Atmos Gender & Climate Justice'.;2022-03-05
climatejustice;text that says 'The Frontline SaturdaySphere An intro to intersectionality Atmos Racial Identity Nationality Gender Physical Ability Sexual Orientation Civil rights advocate and law professor Kimberlé Crenshaw coined the term in 1989 to highlight the areas where systems of oppression overlap and combine to create unique social issues that are often overlooked. These include gender, race, physical ability, nationality, and sexual orientation. Sources: Womankind Worldwide, YW Boston'.;2022-03-05
climatejustice;text that says 'The Frontline SaturdaySphere Atmos Gender and climate are connected. Gender Climate Justice Women are disproportionately impacted- of people climate change displaces are women. In many communities, women are responsible for gathering food and water, but global temperature rise is making this more difficult. It's also harming their mental health and safety. Reports of domestic violence often increase following extreme weather. Sources: BBC, Project Drawdown, IUCN, Gizmodo'.;2022-03-05
climatejustice;"text that says 'The Frontline SaturdaySphere Atmos ""Women"" means all women. Transgender women are women. They not only face some of the same obstacles as cis women, they are also oppressed and excluded by discrimination and social stigma toward the trans community. For example, the unemployment ment rate for transgender individuals in the U.S. is twice that of the population as a whole, leaving them more vulnerable to houselessness and poverty. Sources: Down To Earth, National GBTQ Û Task Force'.";2022-03-05
climatejustice;text that says 'Frontline SaturdaySphere Atmos Trans women deserve recognition. Emergency response and disaster relief services don't always include trans women, making them especially vulnerable when disasters hit They may face discrimination when accessing shelters or filling out applications for government aid, especially if they have to disclose the names they were given at birth. Ûource: Policy Briet from Û UC rvine and University of Georgia'.;2022-03-05
climatejustice;text that says 'The Frontline SaturdaySphere Atmos Women's voices are vital for climate justice. When education levels for women and girls rise, their political, social, and economic standings improve. So does their reproductive healthcare. Women often hold community knowledge and understand how to adapt to the changing climate and how to devise practical solutions. The latest IPCC report released last month contained more women authors than previous reports, a marker that things are slowly changing. Sources: Project Drawdown, IUCN The 9th'.;2022-03-05
climatejustice;text that says 'The Frontline SaturdaySphere Atmos Viewing environmentalism through an intersectional lens allows us to see how existing social issues exacerbate environmental issues. It's only with this outlook that climate solutions can be effective and beneficial for everyone.'.;2022-03-05
climatejustice;text that says 'Ausgang Exit Tram Marienhof zur Oberfläche togrouneve BUS WC MVG SWM Kundencenter Marienplatz Ausgang Exit'.;2022-03-13
climatejustice;outdoors and text.;2022-02-20
climatejustice;Photo by XR Victoria, Australia on March 06, 2022. May be a cartoon of text.;2022-03-06
climatejustice;"text that says '""Never Again"" Is Happening Now.'.";2022-03-13
climatejustice;outdoors and text that says 'Polar Bears Are Starving.'.;2022-03-13
actonclimate;text that says 'Climate Dad @ClimateDad77 If we could actually SEE the world our kids will face in 20, 30 years time 'm convinced we' be ripping this consumption-obsessed system apart with our bare hands. 22:15 20/01/2022 Twitter for iPhone 867 Retweets 62 Quote Tweets 3,613 Likes'.;2022-01-26
actonclimate;one or more people and text that says 'Such a powerful image the Minister from Tuvalu in the South Pacific delivered his speech to COP26 from the sea to illustrate the crisis they face with rising sea levels Hobilok savehabitat'.;2021-11-14
actonclimate;Photo by 350 Seattle on December 24, 2021. May be a cartoon of text.;2021-12-25
actonclimate;drink and text that says '3 THINGS Coca-Cola DOESN'T WANT YOU TO KNOW 1 2 3 They produce over 120 billion throwaway plastic bottles every year -over 3,800 a second. They've been named top plastic polluter in every global brand audit to date. They're still increasing the number of single use plastic bottles they use. GREENPEACE savehabitat'.;2021-12-31
actonclimate;text that says 'EARTHLY EDUCATION HOW MUC ARE WE GOING TO WAIT? RICH PEOPLE POOR PEOPLE ANIMALS CLIMATE CHANGE'.;2022-03-09
actonclimate;bird and outdoors.;2022-03-09
actonclimate;nature.;2022-03-09
actonclimate;nature.;2022-03-09
actonclimate;child and indoor.;2021-11-18
actonclimate;tree, mountain and nature.;2022-01-13
actonclimate;1 person and text that says 'Jenniferlacopelli Jennifer lacopelli @jennifercarolyn School libraries don't need you to donate copies of Maus and other banned books. They need you to step up and run for the school board so the books don't get banned in the first place.'.;2022-02-01
climateactionnow;"outdoors and text that says 'Nature science oleet ""Hope STORY has been waiting for,"" ha THE ahret th OF MORE and Where to from How Got to We Go Here Climate Change HOPE Author JAHREN of Lab Girl Bestselling'.";2022-01-24
climateactionnow;nature, body of water, tree and text that says 'CLIMATE ACTION NOW NOW'.;2022-02-28
climateactionnow;road and text that says 'Problem ELAN Diesel 07 & TED Lösung'.;2022-03-10
climateactionnow;1 person, ring and text that says 'Clothes that cost less than a cup of your favorite starbucks coffee, cannot be made in a way that keeps women safe. -Ayesha Barenblat'.;2022-01-18
climateactionnow;text.;2022-03-09
climateactionnow;1 person and text that says 'Massachusetts plans to switch one million homes from oil or gas to AIR-SOURCED heat pumps by 2030.'.;2022-02-24
climateactionnow;outdoors and text that says 'THE GOVERNMENT is letting flood-stricken farm animals starve. Animal Justice Party NSW'.;2022-03-09
climateactionnow;lightning and nature.;2022-02-27
climateactionnow;"text that says 'Grafik der Woche „Grafiken Mehr im Buch: bessere Welt"" Captain 2022 Hohe ÖI-/Spritpreise Geschichte einer Dummheit „Diebstahl! Der Staat raubt uns „Mehr halt geiler Und bei Ölpreis? 125 ralölsteuer aus!' sollten dringend alterna- Energien ausbauen!"" 100 Das Zeug billig, warum sollte man was ändern!"" „EXXON und Shell sg keinen Klimawan- del!"" „mmmh, sag mal gibts Alternativen?"" 107, „Oh, naja und den Klimawandel befeuertes wohl auch Endlich können ein Auto leisten! 9,7869, 29,04 1,63 11,6 51,42 1,32 17,31 18,44 16,86 „Ich brauch den SUV einfach! Elektroautos es!'.";2022-03-11
globalclimatestrike;tree and text that says 'Reduce CO2'.;2021-09-26
globalclimatestrike;Photo by erlich textil || berührt dich in Fridays For Future. May be a cartoon of one or more people and text that says 'THERE is NO NO PLANET B! 2Rad statt 2Grad root for your mother earth HOCH DIE HÄNDE KLIMAWENDE KURZ- STRECKEN FLÜGE NUR FÜR WIR SIND JUNG UND BRAUCHEN DAS GELD DIE WELT'.;2021-09-24
